year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,party,candidatevotes,totalvotes,unofficial
1992,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,KAMUELA PRICE,republican,FALSE,REPUBLICAN,40070,180955,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,94754,176706,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ALEXANDRA KAAN,best,FALSE,BEST,2815,176706,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ORSON SWINDLE,republican,FALSE,REPUBLICAN,76623,176706,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ROGER LEE TAYLOR,libertarian,FALSE,LIBERTARIAN,2514,176706,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,ROBERT H. (LOPAKA) GARNER,republican,FALSE,REPUBLICAN,42891,177396,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,124431,177396,FALSE
1994,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,LARRY BARTLEY,libertarian,FALSE,LIBERTARIAN,10074,177396,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,86732,172206,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ORSON SWINDLE,republican,FALSE,REPUBLICAN,80053,172206,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,MARK DUERING,non partisan,FALSE,NON PARTISAN,4126,172206,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NICHOLAS BEDWORTH,natural law,FALSE,NATURAL LAW,1295,172206,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,NOLAN CRABBE,non partisan,FALSE,NON PARTISAN,7723,180963,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,TOM PICO JR.,republican,FALSE,REPUBLICAN,55729,180963,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,109178,180963,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,JAMES N. KEEFE,libertarian,FALSE,LIBERTARIAN,4769,180963,FALSE
1996,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,AMANDA (MANDY) TOULON,natural law,FALSE,NATURAL LAW,3564,180963,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,116693,189571,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NICHOLAS BEDWORTH,natural law,FALSE,NATURAL LAW,3973,189571,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,GENE WARD,republican,FALSE,REPUBLICAN,68905,189571,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,144254,207871,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,NOREEN LEILEHUA,libertarian,FALSE,LIBERTARIAN,13194,207871,FALSE
1998,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,CAROL J. DOUGLASS,republican,FALSE,REPUBLICAN,50423,207871,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,PHIL MEYERS,republican,FALSE,REPUBLICAN,44989,157194,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,108517,157194,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,JERRY MURPHY,libertarian,FALSE,LIBERTARIAN,3688,157194,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,LAWRENCE G. K. DUQUESNE,libertarian,FALSE,LIBERTARIAN,4468,183230,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,112856,183230,FALSE
2000,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,RUSS FRANCIS,republican,FALSE,REPUBLICAN,65906,183230,FALSE
2002,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,131673,180733,FALSE
2002,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,MARK TERRY,republican,FALSE,REPUBLICAN,45032,180733,FALSE
